Plot,Storrie_Se,Chips_Seve,plot__,Spp,dist,azim,dbh,snag_basal,F__live_cr,snag_class,fire_hist,oak_frutin,oak_live_e,avg_ht_liv,oak_avg_ht,oak_live_c,oak_live_1,oak_dead_c,oak_dead_1,oak_sp_dbh,oak_sp___l,oak_sp_d_1,oak_sp___1,oak_sp_d_2,oak_sp___2,FID_,PLOT_X,PLOT_Y,comment,Radians,Delta_X,Delta_Y,Tree_X,Tree_Y,altitude,PLOT_1,DATE,NOTES_1,desc1,Slope,Aspect,Elevation
01-01.1,1.00000000000,1.00000000000,1.00000000000,ABCO,11.70000000000,221.00000000000,25.00000000000,0.00000000000,35.00000000000,0.00000000000,SSSC,,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,0.00000000000,650184.42000000000,4440697.67000000000,05-AUG-15 1:06:15PM,3.85717800000,-7.75789800000,-8.92444100000,650176.66210200000,4440688.74556000000,1307.27000000000,01-01.1,8/5/2015,,,26.19409900000,253.79899600000,1313.64001500000
01-01.1,1.00000000000,1.00000000000,1.00000000000,ABCO,11.40000000000,311.00000000000,8.20000000000,0.00000000000,85.00000000000,0.00000000000,SSSC,,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,0.00000000000,650184.42000000000,4440697.67000000000,05-AUG-15 1:06:15PM,5.42797400000,-8.63463200000,7.50597100000,650175.78536800000,4440705.17597000000,1307.27000000000,01-01.1,8/5/2015,,,26.19409900000,253.79899600000,1313.64001500000
01-01.1,1.00000000000,1.00000000000,1.00000000000,ABCO,11.10000000000,275.00000000000,4.30000000000,0.00000000000,45.00000000000,0.00000000000,SSSC,,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,0.00000000000,650184.42000000000,4440697.67000000000,05-AUG-15 1:06:15PM,4.79965500000,-11.07917900000,0.96930300000,650173.34082100000,4440698.63930000000,1307.27000000000,01-01.1,8/5/2015,,,26.19409900000,253.79899600000,1313.64001500000
01-01.1,1.00000000000,1.00000000000,1.00000000000,ABCO,10.30000000000,234.00000000000,5.10000000000,0.00000000000,70.00000000000,0.00000000000,SSSC,,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,0.00000000000,650184.42000000000,4440697.67000000000,05-AUG-15 1:06:15PM,4.08407000000,-8.35350500000,-6.06917700000,650176.06649500000,4440691.60082000000,1307.27000000000,01-01.1,8/5/2015,,,26.19409900000,253.79899600000,1313.64001500000
01-01.1,1.00000000000,1.00000000000,1.00000000000,ABCO,10.10000000000,328.00000000000,5.80000000000,0.00000000000,80.00000000000,0.00000000000,SSSC,,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,0.00000000000,650184.42000000000,4440697.67000000000,05-AUG-15 1:06:15PM,5.72468000000,-5.36755200000,8.58987900000,650179.05244800000,4440706.25988000000,1307.27000000000,01-01.1,8/5/2015,,,26.19409900000,253.79899600000,1313.64001500000
01-01.1,1.00000000000,1.00000000000,1.00000000000,ABCO,10.00000000000,104.00000000000,10.90000000000,0.00000000000,80.00000000000,0.00000000000,SSSC,,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,0.00000000000,650184.42000000000,4440697.67000000000,05-AUG-15 1:06:15PM,1.81514200000,9.75583800000,-2.43240400000,650194.17583800000,4440695.23760000000,1307.27000000000,01-01.1,8/5/2015,,,26.19409900000,253.79899600000,1313.64001500000
01-01.1,1.00000000000,1.00000000000,1.00000000000,PSME,10.00000000000,261.00000000000,82.40000000000,0.00000000000,55.00000000000,0.00000000000,SSSC,,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,0.00000000000,650184.42000000000,4440697.67000000000,05-AUG-15 1:06:15PM,4.55530900000,-10.28381100000,-1.62879600000,650174.13618900000,4440696.04120000000,1307.27000000000,01-01.1,8/5/2015,,,26.19409900000,253.79899600000,1313.64001500000
01-01.1,1.00000000000,1.00000000000,1.00000000000,PIMO,9.80000000000,15.00000000000,0.00000000000,29.00000000000,0.00000000000,3.00000000000,U,,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,0.00000000000,650184.42000000000,4440697.67000000000,05-AUG-15 1:06:15PM,0.26179900000,2.53642700000,9.46607300000,650186.95642700000,4440707.13607000000,1307.27000000000,01-01.1,8/5/2015,,,26.19409900000,253.79899600000,1313.64001500000
01-01.1,1.00000000000,1.00000000000,1.00000000000,ABCO,9.70000000000,188.00000000000,5.00000000000,0.00000000000,40.00000000000,0.00000000000,SSSC,,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,0.00000000000,650184.42000000000,4440697.67000000000,05-AUG-15 1:06:15PM,3.28121900000,-1.35345800000,-9.63035700000,650183.06654200000,4440688.03964000000,1307.27000000000,01-01.1,8/5/2015,,,26.19409900000,253.79899600000,1313.64001500000
01-01.1,1.00000000000,1.00000000000,1.00000000000,ABCO,9.70000000000,256.00000000000,5.30000000000,0.00000000000,40.00000000000,0.00000000000,SSSC,,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,0.00000000000,650184.42000000000,4440697.67000000000,05-AUG-15 1:06:15PM,4.46804300000,-9.43758100000,-2.35305300000,650174.98241900000,4440695.31695000000,1307.27000000000,01-01.1,8/5/2015,,,26.19409900000,253.79899600000,1313.64001500000
